"id","genus","species","scientificname"
148,"Aster",NA,"Aster spp."
150,"Aster","leavis","Aster leavis"
153,"Aster","simplex","Symphyotrichum lanceolatum ssp. lanceolatum var. interior"
1189,"Ratibida","pinnata","Ratibida pinnata"
1305,"Silphium","integrifolium","Silphium integrifolium var. deamii"
1306,"Silphium","laciniatum","Silphium laciniatum var. laciniatum"
1319,"Solidago","canadensis","Solidago altissima"
2645,"Helianthus","grosseserratus","Helianthus grosseserratus"
2647,"Symphyotrichum",NA,"Symphyotrichum novae-angliae"
2648,"Coreopsis",NA,"Coreopsis tripteris"
2651,"Heliopsis",NA,"Heliopsis helianthoides"
2652,"Rudbeckia",NA,"Rudbeckia subtomentosa"
2653,"Silphium",NA,"Silphium integrifolium"
2655,"Anemone",NA,"Anemone cylindrica"
2661,"Coreopsis",NA,"Coreopsis lanceolata"
2663,"Echinacea",NA,"Echinacea angustifolia"
2664,"Echinacea",NA,"Echinacea pallida"
2665,"Echinacea",NA,"Echinacea purpurea"
2666,"Echinacea",NA,"Echinacea tennesseensis"
2667,"Helenium",NA,"Helenium linifolium"
2668,"Helianthus",NA,"Helianthus maximiliani"
2669,"Hypericum",NA,"Hypericum perforatum"
2670,"Liatris",NA,"Liatris pycnostachya"
2671,"Monarda",NA,"Monarda fistulosa"
2672,"Oligoneuron",NA,"Oligoneuron ohioense"
2673,"Parthenium",NA,"Parthenium integrifolium"
2674,"Penstemon",NA,"Penstemon digitalis"
2677,"Silphium",NA,"Silphium laciniatum"
2678,"Silphium",NA,"Silphium perfoliatum"
2679,"Silphium",NA,"Silphium trifoliatum"
2680,"Solidago",NA,"Solidago canadensis"
2682,"Solidago",NA,"Solidago rugosa"
2683,"Solidago",NA,"Solidago speciosa"
2688,"Veronicastrum",NA,"Veronicastrum virginicum"
6579,"Pycnanthemum",NA,"Pycnanthemum virginianum"
11474,"Monarda",NA,"Monarda fistulosa ssp. brevis"
11487,"Monarda",NA,"Monarda fistulosa ssp. fistulosa"
11500,"Monarda",NA,"Monarda fistulosa ssp. fistulosa var. fistulosa"
11512,"Monarda",NA,"Monarda fistulosa ssp. fistulosa var. menthifolia"
11525,"Monarda",NA,"Monarda fistulosa ssp. fistulosa var. mollis"
11538,"Monarda",NA,"Monarda fistulosa ssp. fistulosa var. rubra"
11550,"Monarda",NA,"Monarda fistulosa ssp. fistulosa var. stipitatoglandulosa"
13075,"Silphium",NA,"Silphium integrifolium var. gattingeri"
13087,"Silphium",NA,"Silphium integrifolium var. integrifolium"
13099,"Silphium",NA,"Silphium integrifolium var. laeve"
13110,"Silphium",NA,"Silphium integrifolium var. neglectum"
13143,"Silphium",NA,"Silphium laciniatum var. robinsonii"
13175,"Silphium",NA,"Silphium perfoliatum var. connatum"
13185,"Silphium",NA,"Silphium perfoliatum var. perfoliatum"
13264,"Silphium",NA,"Silphium terebinthinaceum"
13276,"Silphium",NA,"Silphium terebinthinaceum var. luciae-brauniae"
13287,"Silphium",NA,"Silphium terebinthinaceum var. terebinthinaceum"
14291,"Heliopsis",NA,"Heliopsis helianthoides var. gracilis"
14303,"Heliopsis",NA,"Heliopsis helianthoides var. helianthoides"
14315,"Heliopsis",NA,"Heliopsis helianthoides var. occidentalis"
14327,"Heliopsis",NA,"Heliopsis helianthoides var. scabra"
33896,"Symphyotrichum",NA,"Symphyotrichum adnatum"
33908,"Symphyotrichum",NA,"Symphyotrichum Ã—amethystinum"
41860,"Parthenium",NA,"Parthenium integrifolium var. integrifolium"
41871,"Parthenium",NA,"Parthenium integrifolium var. mabryanum"
49290,"Aster",NA,"Aster"
50966,"Solidago",NA,"Solidago rigida"
